Date;LBUSTRUU INDEX
20/04/1992;498.53
21/04/1992;498.83
22/04/1992;499.12
23/04/1992;498.83
24/04/1992;499.72
27/04/1992;498.97
28/04/1992;499.72
29/04/1992;499.62
30/04/1992;499.21
01/05/1992;501.08
04/05/1992;501.18
05/05/1992;501.68
06/05/1992;503.07
07/05/1992;502.72
08/05/1992;504.67
11/05/1992;505.52
12/05/1992;506.62
13/05/1992;506.87
14/05/1992;506.72
15/05/1992;508.07
18/05/1992;508.37
19/05/1992;510.21
20/05/1992;509.22
21/05/1992;506.52
22/05/1992;507.27
26/05/1992;505.22
27/05/1992;506.07
28/05/1992;507.47
29/05/1992;508.63
01/06/1992;507.33
02/06/1992;508.34
03/06/1992;508.65
04/06/1992;508.9
05/06/1992;509.97
08/06/1992;510.33
09/06/1992;509.72
10/06/1992;509.41
11/06/1992;510.07
12/06/1992;511.09
15/06/1992;511.6
16/06/1992;512.52
17/06/1992;512.92
18/06/1992;513.84
19/06/1992;512.82
22/06/1992;513.18
23/06/1992;512.52
24/06/1992;513.99
25/06/1992;515.52
26/06/1992;515.16
29/06/1992;515.98
30/06/1992;515.63
01/07/1992;516.58
02/07/1992;520.86
06/07/1992;521.79
07/07/1992;522.56
08/07/1992;522.25
09/07/1992;522.46
10/07/1992;522.35
13/07/1992;521.84
14/07/1992;522.1
15/07/1992;523.85
16/07/1992;524.36
17/07/1992;523.59
20/07/1992;523.95
21/07/1992;524.05
22/07/1992;525.34
23/07/1992;527.72
24/07/1992;527.1
27/07/1992;527.87
28/07/1992;528.95
29/07/1992;528.95
30/07/1992;526.74
31/07/1992;526.15
03/08/1992;526.54
04/08/1992;528.12
05/08/1992;528.54
06/08/1992;528.44
07/08/1992;530.44
10/08/1992;531.91
11/08/1992;532.38
12/08/1992;531.96
13/08/1992;530.33
14/08/1992;531.44
17/08/1992;531.23
18/08/1992;533.12
19/08/1992;533.49
20/08/1992;533.96
21/08/1992;532.33
24/08/1992;529.49
25/08/1992;528.86
26/08/1992;529.91
27/08/1992;530.86
28/08/1992;531.33
31/08/1992;531.48
01/09/1992;532.99
02/09/1992;533.68
03/09/1992;533.79
04/09/1992;537.13
08/09/1992;539.42
09/09/1992;538.46
10/09/1992;538.62
11/09/1992;537.56
14/09/1992;538.57
15/09/1992;536.92
16/09/1992;536.76
17/09/1992;537.03
18/09/1992;537.24
21/09/1992;536.55
22/09/1992;534.74
23/09/1992;533.79
24/09/1992;535.7
25/09/1992;537.99
28/09/1992;538.94
29/09/1992;538.52
30/09/1992;537.79
01/10/1992;540.6
02/10/1992;540.01
05/10/1992;540.33
06/10/1992;538.45
07/10/1992;535.55
08/10/1992;536.78
09/10/1992;534.47
13/10/1992;535.39
14/10/1992;535.98
15/10/1992;535.71
16/10/1992;534.79
19/10/1992;533.23
20/10/1992;529.68
21/10/1992;530.92
22/10/1992;532.05
23/10/1992;530.11
26/10/1992;530.11
27/10/1992;531.41
28/10/1992;531.35
29/10/1992;532.48
30/10/1992;530.65
02/11/1992;529.66
03/11/1992;530.19
04/11/1992;530.09
05/11/1992;530.56
06/11/1992;528.65
09/11/1992;528.18
10/11/1992;530.03
12/11/1992;532.63
13/11/1992;532.05
16/11/1992;530.62
17/11/1992;531.31
18/11/1992;533.11
19/11/1992;532.63
20/11/1992;532.21
23/11/1992;532.1
24/11/1992;533.17
25/11/1992;532.63
27/11/1992;530.83
30/11/1992;530.77
01/12/1992;531.54
02/12/1992;531.96
03/12/1992;532.81
04/12/1992;534.61
07/12/1992;536.21
08/12/1992;537.06
09/12/1992;536.74
10/12/1992;536.47
11/12/1992;535.73
14/12/1992;535.25
15/12/1992;535.57
16/12/1992;536.74
17/12/1992;536.79
18/12/1992;537.43
21/12/1992;538.6
22/12/1992;540.03
23/12/1992;539.5
24/12/1992;539.29
28/12/1992;538.7
29/12/1992;539.23
30/12/1992;539.98
31/12/1992;539.21
04/01/1993;542.42
05/01/1993;542.52
06/01/1993;542.2
07/01/1993;539.5
08/01/1993;540.64
11/01/1993;541.34
12/01/1993;541.01
13/01/1993;541.61
14/01/1993;542.79
15/01/1993;544.63
19/01/1993;545.11
20/01/1993;544.63
21/01/1993;545.27
22/01/1993;546.35
25/01/1993;548.24
26/01/1993;547.21
27/01/1993;547.75
28/01/1993;548.83
29/01/1993;549.55
01/02/1993;550.4
02/02/1993;549.3
03/02/1993;549.74
04/02/1993;551.28
05/02/1993;553.2
08/02/1993;551.99
09/02/1993;551.28
10/02/1993;549.68
11/02/1993;551.33
12/02/1993;552.16
16/02/1993;552.76
17/02/1993;554.14
18/02/1993;556.61
19/02/1993;556.61
22/02/1993;557.76
23/02/1993;560.9
24/02/1993;559.58
25/02/1993;559.03
26/02/1993;559.17
01/03/1993;561.42
02/03/1993;561.37
03/03/1993;563.27
04/03/1993;564.72
05/03/1993;562.71
08/03/1993;563.38
09/03/1993;562.71
10/03/1993;561.87
11/03/1993;562.26
12/03/1993;559.36
15/03/1993;558.13
16/03/1993;560.25
17/03/1993;561.09
18/03/1993;563.05
19/03/1993;562.65
22/03/1993;562.99
23/03/1993;564.05
24/03/1993;562.99
25/03/1993;562.6
26/03/1993;560.03
29/03/1993;561.14
30/03/1993;561.93
31/03/1993;561.5
01/04/1993;561.41
02/04/1993;559.5
05/04/1993;560.63
06/04/1993;562.03
07/04/1993;562.48
08/04/1993;565.12
12/04/1993;566.64
13/04/1993;566.36
14/04/1993;567.25
15/04/1993;567.7
16/04/1993;567.14
19/04/1993;567.98
20/04/1993;567.98
21/04/1993;568.32
22/04/1993;568.83
23/04/1993;568.04
26/04/1993;567.31
27/04/1993;565.57
28/04/1993;565.46
29/04/1993;566.64
30/04/1993;565.41
03/05/1993;567.98
04/05/1993;568.94
05/05/1993;568.77
06/05/1993;569.5
07/05/1993;568.77
10/05/1993;569.96
11/05/1993;569.84
12/05/1993;569.05
13/05/1993;567.41
14/05/1993;567.07
17/05/1993;566.22
18/05/1993;565.09
19/05/1993;566.28
20/05/1993;566.73
21/05/1993;565.43
24/05/1993;565.55
25/05/1993;565.6
26/05/1993;566.85
27/05/1993;566.9
28/05/1993;566.13
01/06/1993;568.87
02/06/1993;569.04
03/06/1993;569.94
04/06/1993;567.79
07/06/1993;568.87
08/06/1993;568.13
09/06/1993;569.32
